"DATE","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE AUTO","NSE BANK","NSE ENERGY","NSE FIN","NSE FMCG","NSE IT","NSE MED","NSE MET","NSE PHARMA"
2008-06-26,0.843023988,0.472835634,-1.991081738,0.008536313,0.005738318,0.021799711,0.006466935,0.006848714,0.025116109,-0.005330334,0.011195588,0.006575676
2008-06-27,2.17925518,-0.27668335,7.112284138,-0.051318747,-0.054651996,-0.030781954,-0.057281689,-0.03502771,-0.045579732,-0.031643314,-0.048295381,-0.011382862
2008-06-30,-0.356005705,0.568329723,3.011422454,-0.021359525,-0.035281813,-0.025597021,-0.040755276,0.000663552,-0.00079948,-0.046372746,-0.009491182,0.010452156
2008-07-01,-2.949934674,2.035764455,5.663121708,-0.044941516,-0.058523388,-0.027360705,-0.054933765,-0.030149498,-0.023240986,-0.053139807,-0.044476283,-0.02229825
2008-07-02,0.084889121,1.340002023,-1.386801077,0.01877957,0.061886601,0.049652071,0.070537303,-0.003085686,0.048522316,0.015708573,0.049669549,0.023865745
2008-07-03,-1.706516302,-2.236797098,-3.343417034,-0.037519549,-0.034701288,-0.027885691,-0.04794342,-0.040055185,-0.027600098,-0.039892329,-0.075637363,-0.016554339
2008-07-07,-1.050255508,-3.815542521,2.235864104,0.037540974,0.046224247,0.003132897,0.064860962,0.048349286,0.02732899,0.058710333,0.012025107,-0.00507627
2008-07-08,-2.77395168,-0.07252086,-0.379607408,-0.001423066,0.006147057,-0.009614883,0.000350135,-0.016715755,-0.03035339,-0.012321726,-0.00017183,-0.004259696
2008-07-09,1.059991642,4.152500367,-6.728236739,0.031202056,0.045948539,0.036069758,0.047078943,0.045955236,0.041864099,0.045297584,0.031995097,0.016728248
2008-07-10,-1.269737574,1.713190762,10.32807809,-0.00683052,-0.000458677,-0.003064745,-0.00057123,-0.003797235,-0.007148559,-0.008044469,0.03124509,-0.000149601
2008-07-11,-0.714068841,0.269588106,-3.256845561,-0.008721704,-0.018411688,-0.026631146,-0.030885236,-0.020467932,-0.064483511,-0.007385151,-0.012218085,-0.007069715
2008-07-14,-3.141652327,-3.759043662,1.827496265,0.007790987,-0.006287328,0.015388983,-0.010528523,-0.008975512,-0.046946217,-0.001017907,0.023646481,-0.007138888
2008-07-15,-2.170106036,-2.311010041,-8.709518349,-0.023752083,-0.070817532,-0.032747859,-0.069600692,-0.035665129,-0.029131653,-0.040174561,-0.049593501,-0.046047119
2008-07-16,-1.318742827,-4.170902628,0.90565664,-0.025790861,-0.023248845,-0.008347264,-0.02733856,0.005120157,-0.011582903,-0.023822993,-0.026772353,0.015508784
2008-07-17,0.167564166,-1.585306384,4.675137712,0.039871626,0.06522866,0.030210906,0.068537862,0.018017778,0.035839385,0.010917937,-0.027170018,0.002402253
2008-07-18,3.022630838,2.320906937,-4.719467656,0.015741452,0.070390784,0.041629313,0.075953702,0.024413711,-0.018076347,0.030375948,0.004835642,0.003308207
2008-07-21,-1.785222368,-2.851335423,7.283834276,0.019411679,0.039403245,0.015520932,0.023534903,0.016791763,0.005333744,-0.002259802,0.012754116,0.036633769
2008-07-22,-4.644347263,-3.790555005,3.38639323,-0.010640375,0.034312238,0.012927073,0.033296572,0.042553808,0.027822261,0.019262146,0.039646316,0.009511018
2008-07-23,-1.18935133,0.478878111,2.886549899,0.037335964,0.09483577,0.040543955,0.098640998,0.012617074,0.029778759,0.043395449,0.061591783,0.012035713
2008-07-24,1.559183109,-1.227301834,1.349314654,0.003893444,-0.020423607,0.006907807,-0.013458188,-0.012624608,-0.03095686,0.010758535,-0.019991413,-0.002053086
2008-07-25,0.927698916,1.27988481,5.874778135,-0.009342134,-0.047693769,-0.039691072,-0.050539378,0.004085893,-0.006991963,-0.011271647,-0.010551007,-0.004043996
2008-07-28,-0.619747047,-2.54450575,9.147551226,-0.000452702,0.000321095,0.012637113,0.000339216,0.003120263,0.001900439,0.008187377,-0.013252527,0.000428548
2008-07-29,5.507834543,3.69604843,-8.004318133,-0.039058463,-0.083964758,-0.034233983,-0.072711753,0.001304962,-0.00518559,-0.055291427,-0.016191405,-0.017288668
2008-07-30,-2.617892115,-1.119784341,-9.31278897,0.028332072,0.054830648,0.019212081,0.055345389,0.002441087,0.037283951,-0.008276547,0.041721173,0.013036252
2008-07-31,-0.992995877,0.727394346,-0.701035807,0.001497644,0.001853325,0.008346106,0.00226229,-0.001731005,-0.007418869,-0.00787245,0.014126432,-0.008416992
2008-08-01,-3.95024624,-2.756217407,0.682543485,-0.007025822,0.040462125,0.024896589,0.037064707,-0.006506198,0.026379951,0.006600911,0.017992223,0.010420894
2008-08-04,0.609580388,-2.93339428,11.32887127,0.003966193,0.005115819,-0.009432928,0.001153398,0.001138923,-0.002738944,0.010354867,0.019090872,0.012791359
2008-08-05,2.111712556,-0.962679029,-1.356014591,0.03755908,0.063296843,0.017283274,0.054805584,0.015683001,0.019902116,0.014346881,-0.011487908,0.007709063
2008-08-06,-1.53332969,2.209097896,-7.170070303,0.026471908,-0.006827063,0.002102259,-0.009953264,0.009878721,0.012086019,0.003993273,-0.030332621,-0.004574311
2008-08-07,0.218688071,-4.187715514,5.061296216,0.012949247,0.005522898,0.001215004,0.012505269,0.003777437,0.002723765,0.008502005,0.004721618,0.0033545
2008-08-08,-0.072461265,-1.044823833,4.620499368,-0.000665256,0.013256013,0.002916351,0.01252095,-0.002432283,-0.014965165,0.002335877,0.008747659,0.004937635
2008-08-11,0.00643188,-0.293828292,-7.071774011,0.023389428,0.04276076,0.025869702,0.036490583,0.011899774,0.000268103,0.017534362,-0.001912854,-0.000346862
2008-08-12,3.118646299,3.77837666,-7.325253587,-0.018729269,-0.034566873,-0.001645349,-0.028904226,0.005162031,-0.024595081,-0.006364757,-0.034089012,-0.013912482
2008-08-13,-1.18196931,0.019341726,-1.442249081,-0.002824791,-0.018495409,-0.002309264,-0.018412818,0.001721858,0.008832535,0.004668656,0.002595142,0.012505431
2008-08-14,-1.552880393,-0.300600648,-3.714796595,-0.014307702,-0.05347879,-0.020599349,-0.051559747,-0.015724214,0.013632178,-0.024385171,-0.005678531,0.004094831
2008-08-18,1.887687433,1.6848778,-4.749310934,-0.013768045,-0.002487542,-0.013655904,0.000858418,-0.009391607,0.003083892,-0.000559582,-0.018231738,-0.003199302
2008-08-19,2.736895524,-0.010884592,7.847079952,-0.010658091,-0.003765555,-0.000256747,-0.007974536,-0.009607344,-0.00545995,-0.006518783,-0.002597951,0.005914909
2008-08-20,1.75645324,4.727564801,4.977102097,0.007453857,0.005657166,0.001920728,0.009560296,-0.001474818,0.003745462,0.006326736,0.022930371,0.01800658
2008-08-21,-1.774619155,-5.29276155,-1.735561171,-0.016806255,-0.052229394,-0.027495489,-0.052182651,-0.014074479,-0.024356894,-0.018414193,-0.023726603,-0.018557887
2008-08-22,-0.872209212,1.762242955,-7.195212454,0.011793847,0.011292906,0.006124438,0.013573152,0.012784742,0.00315664,0.004170317,0.024163963,0.004539432
2008-08-25,1.324901809,0.958487841,2.920460018,0.003330392,0.014672657,-0.003960134,0.016513405,0.003911462,0.0056014,0.013378877,-0.005621849,-0.001034776
2008-08-26,1.702340362,0.856083518,7.5431234,0.01722216,0.014059514,-0.005446669,0.01054687,0.007195414,0.012010335,-0.009591318,-0.00474296,0.003134487
2008-08-27,-0.719600612,-2.185948052,1.298228274,0.00255085,-0.020132252,-0.010433999,-0.01950053,-0.003897392,-0.00492674,-0.000134784,0.001280394,-0.001232567
2008-08-28,-0.141619919,0.283992785,1.377567687,-0.002799402,-0.017583776,-0.019326891,-0.017362982,-0.010325732,-0.018308879,-0.010191014,-0.01992053,-0.008773083
